num.,des.,value.
1,A1,7.121906794
2,B5,1.026633224
3,C2,0.608257454
4,C2,16.4794448
5,D7,21.58526401
6,A2,29.22000747
7,B6,0.204989916
8,C2,34.63361494
9,A2,38.37680713
10,B6,23.69860753
11,C2,1.816866824
12,C2,32.76594421
13,D8,38.84601141
14,A3,17.34591956
15,B7,26.16723958
16,C3,3.729018547
17,A3,3.341898419
18,B7,14.73699318
19,C2,24.60517193
20,C2,29.753003
21,D9,32.73896612
22,A4,1.754062653
23,B8,26.69640573
24,C4,28.18710274
25,A4,6.170444224
26,B8,20.41218022
27,C2,9.669143231
28,C2,17.93846355
29,D10,26.62831267
30,A5,34.16242815
31,B9,26.20652823
32,C5,4.448022759
33,A5,5.097496239
34,B9,9.355508828
35,A2,17.87751229
36,B6,35.07092833
37,C2,13.71409798
38,C2,19.75198231
39,D8,25.61677665
40,A3,31.32325826
41,B7,12.99689752
42,C3,9.964149766
43,A3,39.98763611
44,B7,38.12918521
45,C2,24.72318944
46,C2,17.43155007
47,D9,32.23985347
48,A4,5.365986712
49,B8,15.02344108
49,A5,11.54886289
