num.,des.,value.
1,A1,54.2366331
2,B5,12.44355773
3,C2,60.84185763
4,C2,8.650993778
5,D7,55.8823965
6,A2,52.94138585
7,B6,26.36530731
8,C2,13.1513485
9,C2,66.64166348
10,D8,64.42302671
11,A3,48.08454332
12,B7,6.309202892
13,C2,54.8756027
14,C2,19.98557579
15,D9,39.35377244
16,A4,33.75768361
17,B8,69.88925095
18,C2,11.11737503
19,C2,0.203174148
20,C2,1.353465478
21,C2,30.38657065
22,D8,16.98251691
23,A3,21.1657804
24,B7,2.795180171
25,C2,22.22304646
26,C2,68.9233297
27,D9,17.40233866
28,A2,18.0043026
29,B6,67.44696418
30,C2,1.273490597
31,C2,17.15138393
32,D8,68.23289423
33,A3,60.38402287
34,B7,59.13805727
